Modified container:
Container contains 4589 elements.
0: It is a flower: name = rerevberqcnk, type = potted
1: It is a tree: name = ycfacduy, age = 1823816219
2: It is a tree: name = xevjezhbatqmpeaevlyu, age = 1947857999
3: It is a flower: name = bucdbosovy, type = potted
4: It is a tree: name = leafliztfoezfojx, age = 1589733873
5: It is a flower: name = iwexzfeglimibqx, type = potted
6: It is a tree: name = xycbeerutwsa, age = 597075985
7: It is a flower: name = stinnejamclsuqah, type = wild
8: It is a flower: name = guy, type = garden
9: It is a bush: name = dha, flowering month = 4
10: It is a flower: name = lqezyonwtefwcaeump, type = wild
11: It is a bush: name = vuxuwhbja, flowering month = 3
12: It is a bush: name = ditvynelsfodvw, flowering month = 8
13: It is a bush: name = ilqiywaslzlkf, flowering month = 3
14: It is a bush: name = quiiatuyajsyn, flowering month = 5
15: It is a flower: name = jsoza, type = potted
16: It is a bush: name = bsetgoynhznvbpgixe, flowering month = 11
17: It is a tree: name = enghgfvnzsnuxo, age = 1546389531
18: It is a bush: name = dwmbsojmeyi, flowering month = 10
19: It is a bush: name = bjwuj, flowering month = 6
20: It is a flower: name = ohjut, type = wild
21: It is a bush: name = iwioribkxmtxzmhfs, flowering month = 3
22: It is a flower: name = mrznlqxeuzfihvnfjoqz, type = potted
23: It is a bush: name = qvouwusbxt, flowering month = 10
24: It is a flower: name = ndkahjzrsoxobr, type = potted
25: It is a tree: name = i, age = 235005990
26: It is a flower: name = puvbbu, type = wild
27: It is a flower: name = wpvfegkvoziflgdkef, type = potted
28: It is a flower: name = ufcocy, type = wild
29: It is a flower: name = cvagpalfhufcxt, type = wild
30: It is a bush: name = vocdriaaznombuxj, flowering month = 6
31: It is a bush: name = u, flowering month = 9
32: It is a tree: name = u, age = 1800721993
33: It is a flower: name = whbimnmjqqouoqwggsns, type = potted
34: It is a bush: name = qhgltmbvdayobfo, flowering month = 10
35: It is a flower: name = qxoar, type = potted
36: It is a flower: name = shvubviokfmpyxpgud, type = garden
37: It is a bush: name = opcv, flowering month = 6
38: It is a flower: name = ibq, type = garden
39: It is a tree: name = zeilmuounqmiisvdbm, age = 989723019
40: It is a flower: name = efjavinjsikn, type = garden
41: It is a flower: name = dvevkzipeqvmrtztjva, type = potted
42: It is a bush: name = fafvxih, flowering month = 11
43: It is a bush: name = qa, flowering month = 2
44: It is a tree: name = udy, age = 1244037918
45: It is a tree: name = llejqcrbklaodh, age = 893569779
46: It is a bush: name = vtacpaadkpt, flowering month = 2
47: It is a tree: name = kaexxoork, age = 1160836602
48: It is a tree: name = cxmqo, age = 2060065162
