Modified container:
Container contains 5593 elements.
0: It is a bush: name = ghuygniirbypaokcfwbo, flowering month = 12
1: It is a bush: name = sqdnvxupxytxjaocimdb, flowering month = 7
2: It is a bush: name = ttjujbkdkluoovlwvrqd, flowering month = 3
3: It is a flower: name = rrkayxrhsjieipzvmlbs, type = garden
4: It is a flower: name = qcvweaaiobjtpbpvnsou, type = garden
5: It is a flower: name = fixwuiqdmnrrnqmkhcox, type = wild
6: It is a bush: name = euqlmheqnpjfwznnqfbi, flowering month = 9
7: It is a bush: name = uoerxvwazedrkjjltftq, flowering month = 9
8: It is a bush: name = qbqiiiyxsmcvcwzixkdz, flowering month = 12
9: It is a bush: name = hmdejunpkbxrrpaajyxv, flowering month = 6
10: It is a bush: name = pwxuhpopdbkllxhaadwk, flowering month = 7
11: It is a flower: name = okqfssbbkjhimjeycjjo, type = garden
12: It is a flower: name = mpcfpvandqrydtgsanua, type = wild
13: It is a bush: name = ilbaltqfqekzrazuoyrm, flowering month = 7
14: It is a bush: name = zohabaviuinxombmogcv, flowering month = 9
15: It is a bush: name = zehkueagfamfbunbixbq, flowering month = 7
16: It is a flower: name = iiqqpmmuujclejlktlud, type = garden
17: It is a tree: name = xkwxfffjknrkneuusleu, age = 1512908265
18: It is a tree: name = ptxyeuceqlitcvtahgkd, age = 1543407091
19: It is a flower: name = jwraugaubytqrxhukbuy, type = wild
20: It is a bush: name = qoremopznhxewgrcrcly, flowering month = 12
21: It is a flower: name = iydrifgtagvnylsdatul, type = garden
22: It is a bush: name = ihlolqzsadkgzowdxnlz, flowering month = 11
23: It is a tree: name = mwpokekdggxdevahwdhv, age = 150062323
24: It is a bush: name = kqcdtekivtakpilbeojz, flowering month = 12
25: It is a bush: name = ruhfimgrqxxapjrdmkvi, flowering month = 4
26: It is a tree: name = budutwdwesznxehkhfub, age = 392411755
27: It is a bush: name = pujejenylubabojriaaj, flowering month = 5
28: It is a flower: name = kyceinxvbingpriojgry, type = wild
29: It is a bush: name = othmczciosnuoehwvfju, flowering month = 10
30: It is a flower: name = sptvdoyavmvunvkmlirm, type = garden
31: It is a flower: name = tltdmidxbzbvqdjeeuut, type = potted
32: It is a bush: name = rjooxovakjjnckoiowqr, flowering month = 7
33: It is a tree: name = jmugderkbtuiasmqpwja, age = 1459372705
34: It is a bush: name = exayulwwqdejvlsoaijm, flowering month = 5
35: It is a bush: name = wbntefdskjfadwusxkwe, flowering month = 9
36: It is a tree: name = xljupiaxabmtwoablnjw, age = 105576124
37: It is a flower: name = xpbwyvgjuekufjrkpdoy, type = wild
38: It is a flower: name = zclnuufkulcaubbjcyhy, type = wild
