Modified container:
Average: 0.199263
0:It is a bush: name = ujkdvnorlrohbxp, flowering month = 12
1:It is a bush: name = jundm, flowering month = 5
2:It is a tree: name = mxwdbhlkmocdeujktuo, age = 121988334
3:It is a tree: name = ropwq, age = 1598363264
4:It is a tree: name = vicx, age = 454955036
5:It is a tree: name = gejn, age = 2119382884
6:It is a bush: name = jxdgoajorttww, flowering month = 4
7:It is a bush: name = vlkoaifgzlyrfen, flowering month = 12
8:It is a bush: name = yddtu, flowering month = 2
9:It is a tree: name = basnkyxaqaywjifiifbt, age = 746954595
10:It is a bush: name = zveh, flowering month = 7
11:It is a flower: name = vhoaekwnxcsosnjkhce, type = 1
12:It is a flower: name = uqlihjzvwoihzpgl, type = 3
13:It is a tree: name = vsrvexduivbalyz, age = 2009391029
14:It is a tree: name = yfbrsideuxapsniq, age = 762294145
15:It is a bush: name = uovjpexazpdvwmanb, flowering month = 9
16:It is a tree: name = ivnfvehotbeayeoeghhj, age = 1242874837
17:It is a bush: name = yoxy, flowering month = 1
18:It is a bush: name = wneeyigwjke, flowering month = 10
19:It is a flower: name = agtbcawhf, type = 3
20:It is a flower: name = dbwpbvtotpoycvau, type = 2
21:It is a flower: name = eaygnlpxei, type = 3
22:It is a tree: name = wnlbmahehkhlcehut, age = 1378138002
23:It is a bush: name = zvybxsagob, flowering month = 8
24:It is a tree: name = muuwkifyosrgv, age = 1746530140
25:It is a tree: name = uripvoxonvaz, age = 1893972210
26:It is a tree: name = fneyimllx, age = 157992272
27:It is a bush: name = foggnlfuujncahv, flowering month = 3
28:It is a flower: name = qtusvrwloz, type = 3
29:It is a tree: name = tdmytzhuqpeazcum, age = 74019484
30:It is a tree: name = lzo, age = 400378636
31:It is a flower: name = ziebb, type = 3
32:It is a bush: name = hah, flowering month = 12
33:It is a bush: name = ssfiupkhlqzuxw, flowering month = 1
34:It is a tree: name = bviwrttbkabyvuif, age = 1086014216
35:It is a tree: name = iesqvosdj, age = 1871488235
36:It is a flower: name = qrxrgjcguvkoib, type = 2
37:It is a bush: name = iiinpxlftbravihk, flowering month = 3
38:It is a tree: name = biiagufa, age = 758859018
39:It is a flower: name = rgrabmsie, type = 2
40:It is a bush: name = dlttpufxsinavvon, flowering month = 10
41:It is a flower: name = audmassjttusxrkvy, type = 3
42:It is a tree: name = lgesfqsqav, age = 526314564
43:It is a bush: name = twrzuzye, flowering month = 1
44:It is a tree: name = jufncirbfie, age = 1345085869
45:It is a tree: name = qecpcrjkattayavjq, age = 935670129
46:It is a tree: name = wscemtuyckjxrupitmx, age = 2019177544
47:It is a flower: name = ejrulbflzponwem, type = 2
48:It is a flower: name = adhms, type = 2
49:It is a tree: name = ollsrptctyeedxkugyxa, age = 2088780918
50:It is a flower: name = forhskghcibdolpabwiw, type = 1
51:It is a tree: name = gewwm, age = 458274608
52:It is a bush: name = boafxw, flowering month = 1
53:It is a tree: name = mxymamuxhw, age = 14362381
54:It is a bush: name = seouwawwgdmr, flowering month = 12
55:It is a flower: name = ogvkwfqtsbaamchaoe, type = 3
56:It is a tree: name = oettpu, age = 1032313238
57:It is a tree: name = nhiml, age = 339414565
58:It is a flower: name = i, type = 2
59:It is a tree: name = vadjq, age = 358227042
60:It is a flower: name = hahfmedlmwnzot, type = 1
61:It is a flower: name = plwjsailinbotjzo, type = 3
62:It is a bush: name = atrqlsobc, flowering month = 12
63:It is a flower: name = ol, type = 3
64:It is a flower: name = cvnuil, type = 1
65:It is a flower: name = seeq, type = 1
66:It is a bush: name = vmzoijpngjjov, flowering month = 11
67:It is a tree: name = udfelpqagqmcdlzuw, age = 1199127126
68:It is a flower: name = nle, type = 2
69:It is a flower: name = owsqisartd, type = 3
70:It is a tree: name = hpow, age = 580837403
71:It is a tree: name = irgxeghow, age = 1552006368
72:It is a bush: name = ix, flowering month = 7
73:It is a tree: name = usftcyvadt, age = 2107448867
74:It is a tree: name = forrx, age = 395564677
75:It is a flower: name = kqvwltbjtfevwuewcvsu, type = 3
76:It is a tree: name = o, age = 695021695
77:It is a flower: name = ijvsuvywurrpevfrk, type = 1
78:It is a flower: name = niixwfom, type = 2
79:It is a flower: name = kcgej, type = 2
80:It is a tree: name = mwqmebyonkxxlqo, age = 1688444400
81:It is a bush: name = manngsusravwiwtn, flowering month = 7
82:It is a tree: name = zqnkveeaeycb, age = 571480365
83:It is a bush: name = tikx, flowering month = 1
84:It is a tree: name = arcum, age = 157514404
85:It is a bush: name = fditdimloszwuwdu, flowering month = 6
86:It is a tree: name = bewjrbwyderyoxeyxk, age = 1706816806
87:It is a bush: name = ukemgnhjms, flowering month = 6
88:It is a tree: name = e, age = 1132263777
89:It is a bush: name = uop, flowering month = 2
90:It is a flower: name = uknx, type = 3
91:It is a flower: name = cxecyhu, type = 3
92:It is a flower: name = aqgokocvqy, type = 2
93:It is a flower: name = dnyfasaubrrgn, type = 3
94:It is a tree: name = qwemcvfytkcfueaebyp, age = 668262761
95:It is a bush: name = elahasdrwfutskxdkw, flowering month = 10
96:It is a bush: name = nvoqp, flowering month = 11
